exhibition_id,name,poster_link,start_period,end_period
20160101000145,DDPX서울디자인창업센터X서울새활용플라자 패밀리 팝업전시,https://ddp.or.kr/usr/upload/board_thumb/zboardphotogallery0/20220610030800426.jpg,2022-05-07,2022-05-07
20160101000146,NFT ART 101,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1652834926326.jpg,2022-05-05,2022-05-29
20160101000147,2022 제100회 어린이날 기념 공예전시 '나도 어린이 공예작가' 어린이 꿈 공방,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651797499162.jpg,2022-05-04,2022-05-16
20160101000148,Rebooting_제42회 도림전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651798368642.jpg,2022-05-04,2022-05-09
20160101000149,"밤 ,",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1652748397919.gif,2022-05-04,2022-06-15
20160101000150,이상호 도자전 : 봄을 장식하다,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=40810&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,2022-05-04,2022-06-12
20160101000151,"컬러 픽쳐스, 마일즈 알드리지 사진전 2000-2022",https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/03/89706c4b76bca85ac6c0c96259c12299.jpg,2022-05-04,2022-08-28
20160101000152,색상 공간 그리고 생각,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1650862270839.jpg,2022-05-03,2022-05-10
20160101000153,"아스테카, 태양을 움직인 사람들",https://www.museum.go.kr//uploadfile/ecms/media/2022/03/BD066AF6-316A-8C6D-E3D5-A00FD054F4B6_thumb.jpg,2022-05-03,2022-08-28
20160101000154,응시(凝視),https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651557987566.jpg,2022-05-03,2022-05-12
20160101000155,이기원(murim): 장르의 확장,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651558053812.jpg,2022-05-03,2022-05-12
20160101000156,[집밖] 호랑이 그림 Ⅱ,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661991199820.jpg,2022-05-03,2022-09-04
20160101000157,호랑이 그림 Ⅱ,https://www.museum.go.kr//uploadfile/ecms/media/2022/05/6EFCC798-EF20-1CBA-D7AF-CCED5DC508C8_thumb.jpg,2022-05-03,2022-09-04
20160101000158,팀 버튼 특별 전 The World of Tim Burton,https://ddp.or.kr/usr/upload/board_thumb/zboardphotogallery0/20220418045134284.jpg,2022-04-30,2022-04-30
20160101000159,"생생한 채로, 정지된 사과_극사실주의 화가 민경숙 展",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651467125495.jpg,2022-04-29,2022-06-02
20160101000160,[아트뮤제 전시] 꽃피우는 시간_안기호 展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651467107532.jpg,2022-04-29,2022-06-02
20160101000162,2022 안양연고작가발굴지원展 <무엇이 삶을 예술로 만드는가>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651556013076.jpg,2022-04-28,2022-05-29
20160101000163,기록하는 기억 Archived Memories,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220513140826_16b5e332448b41e8aeebb4172a7f9948_2dc717667f0448fda9515f56e96f52fe,2022-04-28,2022-04-28
20160101000164,스테들러와 함께하는 여행드로잉전,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=faec0c25744c22e99776405c0fa72802c5099fddfab542e445df49821cd406a0&streFileNm=aebd9b5f80b5f1bb5a6bdd01f83b19a252e2f1440befb29c34155b70a7ef77fe,2022-04-28,2022-04-28
20160101000165,앤서니 브라운의 원더랜드 뮤지엄展,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2021/12/83932c66bad1433114db5c144db45ae2.jpg,2022-04-28,2022-08-31
20160101000166,어느 수집가의 초대 – 고故 이건희 회장 기증 1주년 기념전,https://www.museum.go.kr//uploadfile/ecms/media/2022/05/17A8EB0D-BADB-5C66-2D86-1A4F1D5B2DE3_thumb.jpg,2022-04-28,2022-08-28
20160101000167,류남희 도예전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651191349399.jpg,2022-04-27,2022-05-02
20160101000168,빈 돌 Empty Stone,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1651191434123.jpg,2022-04-27,2022-05-02
20160101000169,한보라 개인전 : 공존의 그늘,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1649913973738.jpg,2022-04-26,2022-05-02
20160101000170,이주현 제5회 개인전 : 패턴에서 입체로,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1650245738897.jpg,2022-04-22,2022-04-25
20160101000171,전시실의 사적인 대화,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220425105535_9f49850557c64844b4419616e99958db_13bc2046db7c4787b30b2584f3c7f796,2022-04-20,2022-04-20
